================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      18      2     77      0      18 (anonymous)@7-24@.\src\controllers\AccountController.js
      19      2     86      0      19 (anonymous)@26-44@.\src\controllers\AccountController.js
      24      2    106      0      24 (anonymous)@46-69@.\src\controllers\AccountController.js
      25      2    119      0      25 (anonymous)@71-95@.\src\controllers\AccountController.js
      19      2     86      0      19 (anonymous)@97-115@.\src\controllers\AccountController.js
      24      2    106      0      24 (anonymous)@7-30@.\src\controllers\AuthenticationController.js
      19      2     99      0      19 (anonymous)@32-50@.\src\controllers\AuthenticationController.js
      20      2     77      0      20 (anonymous)@7-26@.\src\controllers\InventoryControlHistoryController.js
      19      2     86      0      19 (anonymous)@28-46@.\src\controllers\InventoryControlHistoryController.js
      30      2    107      0      30 (anonymous)@48-77@.\src\controllers\InventoryControlHistoryController.js
      32      2    120      0      32 (anonymous)@79-110@.\src\controllers\InventoryControlHistoryController.js
      21      2     86      0      21 (anonymous)@112-132@.\src\controllers\InventoryControlHistoryController.js
      18      2     77      0      18 (anonymous)@7-24@.\src\controllers\ItemCombinationController.js
      19      2     86      0      19 (anonymous)@26-44@.\src\controllers\ItemCombinationController.js
      30      2    107      0      30 (anonymous)@46-75@.\src\controllers\ItemCombinationController.js
      32      2    120      0      32 (anonymous)@77-108@.\src\controllers\ItemCombinationController.js
      19      2     86      0      19 (anonymous)@110-128@.\src\controllers\ItemCombinationController.js
      18      2     77      0      18 (anonymous)@7-24@.\src\controllers\ItemController.js
      19      2     86      0      19 (anonymous)@26-44@.\src\controllers\ItemController.js
      42      2    149      0      42 (anonymous)@46-87@.\src\controllers\ItemController.js
      43      2    162      0      43 (anonymous)@89-131@.\src\controllers\ItemController.js
      19      2     86      0      19 (anonymous)@133-151@.\src\controllers\ItemController.js
      18      2     77      0      18 (anonymous)@7-24@.\src\controllers\ProductController.js
      19      2     86      0      19 (anonymous)@26-44@.\src\controllers\ProductController.js
      42      2    149      0      42 (anonymous)@46-87@.\src\controllers\ProductController.js
      43      2    162      0      43 (anonymous)@89-131@.\src\controllers\ProductController.js
      19      2     86      0      19 (anonymous)@133-151@.\src\controllers\ProductController.js
      18      2     77      0      18 (anonymous)@7-24@.\src\controllers\ProductItemController.js
      19      2     86      0      19 (anonymous)@26-44@.\src\controllers\ProductItemController.js
      28      2    107      0      28 (anonymous)@46-73@.\src\controllers\ProductItemController.js
      32      2    120      0      32 (anonymous)@75-106@.\src\controllers\ProductItemController.js
      19      2     86      0      19 (anonymous)@108-126@.\src\controllers\ProductItemController.js
      20      2     77      0      20 (anonymous)@7-26@.\src\controllers\ProductTransactionHistoryController.js
      21      2     86      0      21 (anonymous)@28-48@.\src\controllers\ProductTransactionHistoryController.js
      32      2    113      0      32 (anonymous)@50-81@.\src\controllers\ProductTransactionHistoryController.js
      34      2    126      0      34 (anonymous)@83-116@.\src\controllers\ProductTransactionHistoryController.js
      21      2     86      0      21 (anonymous)@118-138@.\src\controllers\ProductTransactionHistoryController.js
       8      2     42      0       8 (anonymous)@22-29@.\src\dao\PostgresDB.js
       6      2     33      0      13 (anonymous)@18-30@.\src\dao\PostgresDB.js
       3      1     21      0      15 connect@17-31@.\src\dao\PostgresDB.js
      10      2     54      0      10 readAll@7-16@.\src\repositories\AccountRepository.js
      10      2     62      1      10 readOneByID@18-27@.\src\repositories\AccountRepository.js
      16      2     77      1      16 createOne@29-44@.\src\repositories\AccountRepository.js
      16      2     77      2      16 updateOneByID@46-61@.\src\repositories\AccountRepository.js
      10      2     62      1      10 deleteOneByID@63-72@.\src\repositories\AccountRepository.js
      10      2     54      0      10 readAll@6-15@.\src\repositories\InventoryControlRepository.js
      13      2     62      1      13 readOneByID@17-29@.\src\repositories\InventoryControlRepository.js
      18      2     85      1      18 createOne@31-48@.\src\repositories\InventoryControlRepository.js
      20      2     81      2      20 updateOneByID@50-69@.\src\repositories\InventoryControlRepository.js
      13      2     62      1      13 deleteOneByID@71-83@.\src\repositories\InventoryControlRepository.js
      10      2     54      0      10 readAll@7-16@.\src\repositories\ItemCombinationRepository.js
      16      2     62      1      16 readOneByID@18-33@.\src\repositories\ItemCombinationRepository.js
      16      2     77      1      16 createOne@35-50@.\src\repositories\ItemCombinationRepository.js
      19      2     77      2      19 updateOneByID@52-70@.\src\repositories\ItemCombinationRepository.js
      13      2     62      1      13 deleteOneByID@72-84@.\src\repositories\ItemCombinationRepository.js
      10      2     54      0      10 readAll@7-16@.\src\repositories\ItemRepository.js
      10      2     62      1      10 readOneByID@18-27@.\src\repositories\ItemRepository.js
      13      2     66      2      13 setEstimateQuantityByID@29-41@.\src\repositories\ItemRepository.js
